Team,Year,Sagarin,Zsagarin,FrNbrRecruits,Fr5star,Fr4star,Fr3star,Fravg,Frpoints,Sonbrrecruits,So5star,So4star,So3star,Soavg,Sopoints,Jrnbrrecruits,Jr5star,Jr4star,Jr3star,Jravg,Jrpoints,Srnbrrecruits,Sr5star,Sr4star,Sr3star,Sravg,Srpoints,Rssrnbrrecruits,Rssr5star,Rssr4star,Rssr3star,Rssravg,Rssrpoints,conference,lysagarin,z_lysagarin,tyasagarin,z_tyasagarin,retoff,retdef,qbret,bowl,bowlwin,coachexp_school,coachexp_total,lindys,BigTen,SEC,BigTwelve,ACC,PacTen,Bigeast,Ind
Louisville,2008,64.95,-1.097458182,22,0,1,11,2.59,378,17,1,2,11,3.06,845,25,0,4,15,2.92,975,27,0,4,8,2.59,541,23,0,1,1,2.13,222,Bigeast,75.58,-0.222592263,93.81,1.698857054,3,4,0,0,0,1,5,57,0,0,0,0,0,1,0
LSU,2008,81.96,0.530415405,26,2,11,13,3.58,2134,26,2,19,5,3.88,2695,25,2,12,11,3.64,2238,13,1,7,5,3.69,1335,28,3,12,10,3.54,2492,SEC,93.39,1.830678564,94.29,1.747892461,6,5,0,1,1,3,7,7,0,1,0,0,0,0,0
Maryland,2008,74.83,-0.151932548,18,0,6,8,3.11,976,26,1,3,13,2.85,1024,22,1,6,7,3,1149,24,1,4,15,3.08,1433,22,0,6,10,3,1261,ACC,74.75,-0.318280909,77.11,-0.007166475,9,5,1,1,0,7,7,34,0,0,0,1,0,0,0
Miami-FL,2008,77.42,0.095932977,33,2,15,8,3.33,2467,19,1,7,8,3.21,1452,22,0,11,8,3.36,1785,17,2,11,3,3.82,1976,28,3,10,9,3.36,2329,ACC,68.18,-1.075719951,74.63,-0.260516077,4,4,0,0,0,1,1,43,0,0,0,1,0,0,0
Michigan,2008,64.28,-1.161577836,24,0,17,6,3.67,2220,20,2,5,12,3.4,1750,19,2,9,7,3.63,1974,23,1,10,11,3.48,1995,22,1,12,8,3.59,2116,bigten,82.27,0.548681282,90.74,1.385234764,3,8,0,1,1,0,15,31,1,0,0,0,0,0,0
Michigan State,2008,78.17,0.167708709,21,0,1,13,2.71,623,23,0,3,12,2.7,808,25,0,7,7,2.84,1112,24,0,1,16,2.75,762,30,0,6,16,2.93,1347,bigten,75.29,-0.256025645,66.39,-1.102290561,7,5,1,1,0,1,4,36,1,0,0,0,0,0,0
Minnesota,2008,68.46,-0.76154776,30,0,7,18,3.07,1395,24,0,1,9,2.46,406,21,0,0,9,2.33,297,18,0,1,10,2.67,335,24,0,0,6,2.25,298,bigten,57.72,-2.281627467,75.13,-0.209437528,7,4,1,0,0,1,1,75,1,0,0,0,0,0,0
Mississippi State,2008,64.91,-1.101286221,27,0,4,7,2.56,686,34,0,4,13,2.62,871,24,0,3,10,2.67,595,27,0,3,9,2.56,767,22,0,1,3,2.23,230,SEC,77.69,0.020664416,66.56,-1.084923854,6,7,1,1,1,4,4,46,0,1,0,0,0,0,0
Missouri,2008,82.8,0.610804224,23,1,2,16,3,1214,27,0,4,16,2.89,1059,24,0,1,13,2.63,564,23,0,1,17,2.83,662,26,0,5,5,2.58,841,bigtwelve,90.48,1.495191865,76.3,-0.089913724,6,10,1,1,1,7,17,5,0,0,1,0,0,0,0
NC State,2008,73.34,-0.294527001,25,0,6,10,2.88,1151,25,0,2,12,2.64,565,20,0,0,9,2.45,407,23,0,5,9,2.83,1077,18,1,3,7,2.89,842,ACC,69.69,-0.901635788,67.48,-0.990939325,5,4,1,0,0,1,11,56,0,0,0,1,0,0,0
Nebraska,2008,80.7,0.409832176,28,1,2,20,2.96,1159,27,0,10,16,3.33,1734,22,1,5,15,3.27,1432,30,2,11,12,3.33,2178,18,0,2,11,2.83,866,bigtwelve,72.69,-0.555773211,79.69,0.256398836,6,6,0,0,0,0,0,51,0,0,1,0,0,0,0
North Carolina,2008,78.88,0.235656401,19,0,7,8,3.16,1120,24,2,4,12,3,1510,28,0,6,14,2.93,1148,24,0,1,10,2.5,594,24,0,3,8,2.58,749,ACC,69.61,-0.91085879,62.46,-1.503767954,9,8,1,0,0,1,7,42,0,0,0,1,0,0,0
Northwestern,2008,75.18,-0.118437207,20,0,0,6,2.3,178,19,0,0,14,2.74,459,17,0,0,4,2.24,123,20,0,0,10,2.5,382,15,0,0,2,2.13,104,bigten,65.3,-1.407748024,62.95,-1.453710976,7,7,1,0,0,2,2,82,1,0,0,0,0,0,0
Notre Dame,2008,73.75,-0.255289601,23,3,16,4,3.96,2744,18,1,12,4,3.72,1932,28,2,10,15,3.46,2189,15,0,2,11,3,661,18,0,3,9,2.83,820,Ind,64.55,-1.494213668,83,0.594538829,9,6,1,0,0,3,3,59,0,0,0,0,0,0,1
Ohio State,2008,84.83,0.805077203,20,4,9,7,3.85,2481,15,0,12,3,3.8,1577,20,2,8,10,3.6,2000,18,1,9,6,3.5,1654,25,1,9,10,3.24,1913,bigten,87.48,1.149329289,93.88,1.706008051,9,9,1,1,0,7,7,3,1,0,0,0,0,0,0
Oklahoma,2008,94.15,1.697010292,21,3,12,5,3.81,2422,21,1,9,8,3.38,1704,28,1,13,14,3.54,2180,27,2,14,10,3.63,2441,18,3,8,6,3.72,2055,bigtwelve,90.66,1.51594362,84.83,0.781486318,9,7,1,1,0,9,9,4,0,0,1,0,0,0,0
Oklahoma State,2008,82.16,0.5495556,27,0,6,16,3.04,1211,23,0,4,16,3.04,1143,29,0,6,18,3.03,1330,21,1,0,13,2.76,628,19,0,3,7,2.68,713,bigtwelve,79.56,0.236252088,76.37,-0.082762727,7,6,1,1,1,3,3,41,0,0,1,0,0,0,0
Ole Miss,2008,86.28,0.943843617,31,1,2,15,2.71,1165,22,0,6,12,3.09,1203,30,2,7,15,3.17,1718,27,1,2,8,2.56,887,24,0,3,11,2.71,838,SEC,67.64,-1.137975215,68.05,-0.932709779,7,8,0,0,0,3,3,53,0,1,0,0,0,0,0
Oregon,2008,85.47,0.866325827,20,0,8,9,3.25,1356,29,0,12,12,3.24,1760,21,0,1,12,2.67,515,23,1,2,13,2.87,1049,30,1,7,13,3,1649,pacten,88.19,1.231183432,78.27,0.111335758,6,7,0,1,1,13,18,21,0,0,0,0,1,0,0
Oregon State,2008,85.11,0.831873476,18,1,0,10,2.72,450,35,0,2,16,2.51,690,30,0,2,14,2.6,650,20,0,2,8,2.6,493,28,0,2,15,2.68,879,pacten,83.18,0.65359293,83.32,0.627229101,7,3,1,1,1,7,7,48,0,0,0,0,1,0,0
Penn State,2008,88.26,1.133331548,14,0,4,6,3,700,21,0,8,8,3.14,1305,24,1,14,8,3.63,2241,19,2,2,10,3.05,1152,25,2,2,15,3,1430,bigten,80.6,0.356151114,84.38,0.735515624,7,7,0,1,1,42,42,26,1,0,0,0,0,0,0
Pittsburgh,2008,79.03,0.250011547,19,1,5,9,3.16,1179,24,0,6,13,3.04,1265,26,0,7,14,3.08,1412,24,0,1,11,2.54,694,24,0,1,6,2.25,433,Bigeast,70.43,-0.816323019,75.8,-0.140992273,8,7,1,0,0,3,3,23,0,0,0,0,0,1,0
Purdue,2008,67.89,-0.816097316,26,0,1,10,2.38,278,19,0,1,11,2.68,371,26,0,1,10,2.38,490,21,1,3,12,3,967,27,0,3,13,2.7,962,bigten,73.76,-0.432415559,70.36,-0.696726884,6,6,1,1,1,11,17,47,1,0,0,0,0,0,0
Rutgers,2008,77.11,0.066265675,20,0,3,7,2.65,662,23,0,3,15,2.83,950,25,0,2,9,2.52,573,22,0,1,5,2.32,191,21,0,1,5,2.33,392,Bigeast,77.24,-0.031214971,88.17,1.122691024,8,8,1,1,1,7,7,33,0,0,0,0,0,1,0
South Carolina,2008,77.06,0.061480626,22,0,6,14,3.18,1322,31,1,14,13,3.42,2190,24,0,6,14,3.08,1236,28,0,6,15,2.96,1310,28,0,3,11,2.61,799,SEC,79.23,0.198207205,82.49,0.54243871,6,9,0,0,0,3,20,27,0,1,0,0,0,0,0
South Florida,2008,75.67,-0.071543729,24,0,2,9,2.46,391,27,1,0,10,2.48,381,28,0,1,8,2.36,315,21,0,1,7,2.43,417,24,0,2,7,2.46,529,Bigeast,82.45,0.569433036,79.33,0.219622281,4,6,1,1,0,11,11,18,0,0,0,0,0,1,0
Southern Cal,2008,94.85,1.764000974,19,2,13,4,3.89,2312,18,6,10,2,4.22,2761,25,5,14,6,3.96,3018,20,4,11,5,3.95,2631,20,8,7,3,4.05,2908,pacten,90.94,1.548224127,95.57,1.878653546,10,7,0,1,1,7,7,2,0,0,0,0,1,0,0
Stanford,2008,74.01,-0.230407348,17,0,2,8,2.71,502,19,0,1,0,2.63,480,18,0,0,10,2.44,409,16,0,4,5,2.81,640,12,0,2,3,2.58,332,pacten,69.05,-0.975419804,61.42,-1.610011336,7,9,1,0,0,1,4,66,0,0,0,0,1,0,0
Syracuse,2008,62.6,-1.322355474,26,0,4,6,2.54,621,27,0,1,13,2.56,679,23,0,2,6,2.43,451,20,0,1,6,2.4,290,32,0,0,9,2.22,361,Bigeast,59.12,-2.120224931,69,-0.835660536,6,4,1,0,0,3,3,92,0,0,0,0,0,1,0
Tennessee,2008,71.95,-0.427551356,18,0,4,11,3.06,1027,32,5,11,15,3.63,2726,22,1,4,13,3.09,1245,27,1,16,9,3.63,2403,24,2,8,8,3.25,1748,SEC,84.31,0.783867834,85.41,0.840737434,8,6,0,1,1,16,16,24,0,1,0,0,0,0,0
Texas,2008,93.5,1.634804658,20,0,12,7,3.55,1919,24,2,16,5,3.79,2562,25,2,11,12,3.6,2283,15,0,9,6,3.6,1409,20,1,9,9,3.5,1864,bigtwelve,85.14,0.87955648,84.02,0.698739069,7,5,1,1,1,10,24,8,0,0,1,0,0,0,0
Texas A&M,2008,65.14,-1.079274997,24,0,7,14,3.17,1482,19,0,4,11,2.89,795,23,0,4,16,2.96,1165,26,1,9,11,3.23,1839,28,0,8,10,2.93,1501,bigtwelve,76.41,-0.126903617,76.98,-0.020446898,5,4,1,1,0,5,25,30,0,0,1,0,0,0,0
Texas Tech,2008,86.75,0.988823076,16,0,3,10,3,678,26,0,1,17,2.73,469,34,0,4,22,2.88,1194,21,0,1,12,2.67,719,26,1,4,7,2.69,807,bigtwelve,81.46,0.455298386,78,0.083753342,10,8,1,1,1,8,8,19,0,0,1,0,0,0,0
UCLA,2008,66.91,-0.909884271,23,0,12,11,3.52,1924,11,0,6,4,3.27,848,22,0,7,13,3.23,1544,21,1,3,12,3,1107,26,0,1,14,2.62,802,pacten,78.74,0.141716317,78.52,0.136875032,5,5,1,1,0,0,8,37,0,0,0,0,1,0,0
Vanderbilt,2008,76.47,0.005017051,21,0,0,4,2.19,80,14,0,1,5,2.5,270,26,0,0,7,2.27,312,24,0,0,2,2.08,70,19,0,0,2,2.11,179,SEC,74.19,-0.382841923,69.9,-0.743719149,3,6,1,0,0,6,14,78,0,1,0,0,0,0,0
Virginia,2008,74.77,-0.157674607,18,0,1,7,2.5,284,24,0,7,11,3.04,1267,24,0,3,10,2.67,757,22,1,5,12,3.14,1417,19,0,3,8,2.74,691,ACC,76.93,-0.066954104,68.78,-0.858135098,6,5,0,1,0,7,13,71,0,0,0,1,0,0,0
Virginia Tech,2008,82.93,0.62324535,31,0,6,22,3.1,1375,26,1,2,14,2.73,1160,22,0,5,12,3,1122,25,1,5,14,3.08,1581,19,0,3,8,2.74,641,ACC,87.84,1.190832798,82.83,0.577172123,6,4,1,1,0,21,27,29,0,0,0,1,0,0,0
Wake Forest,2008,79.43,0.288291938,17,0,0,8,2.47,314,20,0,0,6,2.3,90,15,0,0,6,2.4,152,19,0,0,5,2.26,221,16,0,0,3,2.19,63,ACC,79.5,0.229334837,81.84,0.476036596,5,10,1,1,1,7,12,16,0,0,0,1,0,0,0
Washington,2008,56.68,-1.888905247,26,0,5,14,2.92,1255,27,0,3,16,2.81,982,22,0,4,10,2.82,891,13,0,2,3,2.54,216,23,1,3,9,2.78,1011,pacten,73.81,-0.426651183,74.25,-0.299335774,6,5,1,0,0,3,13,64,0,0,0,0,1,0,0
Washington St.,2008,54.91,-2.058295973,27,0,0,6,2.15,90,27,0,1,14,2.44,280,23,0,1,11,2.57,569,20,0,0,10,2.5,382,28,0,4,9,2.61,893,pacten,72.29,-0.601888222,77.59,0.041868932,6,7,0,0,0,0,8,79,0,0,0,0,1,0,0
West Virginia,2008,79.27,0.272979782,27,0,3,10,2.52,757,28,1,4,16,2.96,1367,16,0,0,10,2.63,431,33,1,0,13,2.48,867,22,0,1,7,2.41,450,Bigeast,92.29,1.703862286,88.64,1.17070486,7,4,1,1,1,0,3,9,0,0,0,0,0,1,0
Wisconsin,2008,71.53,-0.467745766,24,0,3,14,2.83,829,18,1,3,10,3.06,1056,23,0,3,10,2.7,672,23,0,2,13,2.74,767,23,0,1,9,2.48,693,bigten,77.83,0.036804669,88.73,1.179898998,8,9,0,1,0,2,2,11,1,0,0,0,0,0,0
Alabama,2009,100.25,2.878413323,27,4,14,9,3.81,2786,32,3,19,8,3.72,2836,25,0,10,12,3.28,1789,23,2,10,11,3.61,2127,32,0,6,21,3.03,1424,SEC,89.48,1.437375843,79.26,0.20166583,4,9,0,1,0,2,14,7,0,1,0,0,0,0,0
Arizona,2009,77.64,0.12744075,24,0,3,17,2.96,830,23,0,5,12,2.96,974,18,0,4,9,2.72,792,25,1,6,17,3.28,1530,24,0,7,14,3.17,1395,pacten,80.5,0.449225801,76.4,-0.128056492,6,7,0,1,1,5,5,45,0,0,0,0,1,0,0
Arizona State,2009,70.11,-0.78873897,22,1,4,12,2.95,1173,27,0,6,19,3.15,1328,24,0,2,13,2.63,783,24,0,5,15,3.04,1163,22,0,1,16,2.82,774,pacten,71.84,-0.503711768,84.35,0.788479335,6,6,0,0,0,2,20,57,0,0,0,0,1,0,0
Arkansas,2009,82.49,0.717543226,31,1,8,20,3.26,1678,25,0,6,10,2.88,1015,27,0,4,17,2.93,1083,26,1,4,14,2.96,1172,24,1,3,15,3,1293,SEC,71.22,-0.571935936,81.39,0.44722826,7,9,0,0,0,1,5,42,0,1,0,0,0,0,0
Auburn,2009,79.43,0.345231149,28,0,9,16,3.21,1599,29,2,4,16,3.03,1335,30,0,13,15,3.37,2013,25,1,14,7,3.52,2148,21,1,7,10,3.19,1596,SEC,71.69,-0.520217615,84.42,0.796549461,7,7,1,0,0,0,2,44,0,1,0,0,0,0,0
Baylor,2009,67.37,-1.122116451,28,0,3,14,2.71,590,22,0,1,8,2.45,453,29,0,1,12,2.34,274,29,0,0,10,2.34,226,20,0,1,5,2.35,264,bigtwelve,71.06,-0.589542173,58.75,-2.162881316,8,8,1,0,0,1,6,54,0,0,1,0,0,0,0
Boston College,2009,76.14,-0.05506517,17,0,1,6,2.47,260,29,0,3,18,2.83,1081,18,0,2,11,2.83,756,20,0,2,13,2.85,794,16,0,2,9,2.81,434,ACC,78.94,0.277564991,81.61,0.472591515,7,7,0,1,0,0,0,52,0,0,0,1,0,0,0
California,2009,75.77,-0.100083297,20,0,6,8,2.9,931,21,0,5,12,3.05,1070,26,0,5,18,3,1378,20,0,9,8,3.3,1512,24,1,9,12,3.38,1816,pacten,83.58,0.78814586,79.33,0.209735957,7,8,1,1,1,7,7,12,0,0,0,0,1,0,0
Cincinnati,2009,86.84,1.246810395,25,0,2,8,2.48,430,24,0,0,6,2.25,230,23,0,0,6,2.26,90,20,0,0,1,1.95,62,24,0,0,1,2.04,65,Bigeast,77.89,0.162024062,82.81,0.610936546,7,1,1,1,0,2,18,39,0,0,0,0,0,1,0
Clemson,2009,81.54,0.601956143,12,0,7,4,3.5,1019,26,1,13,8,3.42,2113,23,0,8,12,3.22,1555,20,2,6,10,3.4,1741,25,0,6,15,3.08,1431,ACC,78.87,0.269862263,81.93,0.509483523,6,7,0,1,0,1,1,33,0,0,0,1,0,0,0
Colorado,2009,65.89,-1.302188959,19,0,4,8,2.84,744,21,1,7,9,3.24,1510,28,1,2,14,2.68,1081,23,0,0,14,2.61,520,25,0,1,15,2.68,613,bigtwelve,69.36,-0.776608439,73.81,-0.426651183,9,3,1,0,0,3,8,60,0,0,1,0,0,0,0
Connecticut,2009,79.42,0.344014442,21,0,1,3,2.24,215,22,0,0,3,2.14,194,29,0,1,5,2.24,272,23,0,0,4,2.17,80,26,0,0,7,2.27,95,Bigeast,76.4,-0.001934018,77.05,-0.053119601,6,6,0,1,1,10,10,65,0,0,0,0,0,1,0
Duke,2009,67.87,-1.061281144,27,0,2,13,2.63,634,17,0,0,7,2.41,241,21,0,0,4,2.19,138,26,0,1,8,2.38,400,23,0,1,6,2.26,496,ACC,72.35,-0.447591888,59.7,-2.053358166,5,5,1,0,0,1,7,71,0,0,0,1,0,0,0
Florida,2009,95.75,2.330895562,16,3,9,4,3.94,2017,22,4,12,4,3.82,2600,27,4,16,7,3.89,2959,27,4,17,5,3.89,2901,18,0,8,9,3.39,1467,SEC,98.74,2.4563368,87.59,1.162010917,7,11,1,1,1,4,8,1,0,1,0,0,0,0,0
Florida State,2009,78.56,0.239377715,21,2,10,8,3.62,2154,30,2,13,8,3.33,2251,20,0,7,10,3.2,1394,31,2,18,10,3.68,2703,22,3,13,5,3.82,2582,ACC,83.18,0.744130268,77.01,-0.057731102,8,5,1,1,1,33,43,18,0,0,0,1,0,0,0
Georgia,2009,80.08,0.424317047,19,1,14,4,3.84,2179,24,2,13,8,3.67,2321,23,0,12,10,3.48,1895,28,2,14,12,3.64,2436,19,0,11,8,3.58,1814,SEC,84.81,0.923493805,89.83,1.420254974,7,6,0,1,1,8,8,17,0,1,0,0,0,0,0
Georgia Tech,2009,84.6,0.974268221,21,0,1,17,2.9,732,20,0,1,11,2.65,581,20,0,8,10,3.3,1453,16,0,1,9,2.69,372,19,0,0,7,2.37,255,ACC,77.13,0.078394437,73.07,-0.511963952,9,8,1,1,0,1,12,16,0,0,0,1,0,0,0
Illinois,2009,64.37,-1.487128292,23,0,7,8,2.78,1092,28,0,6,16,3,1293,23,2,5,11,3,1448,27,0,6,12,2.89,1148,21,0,3,6,2.57,385,bigten,70.07,-0.698480763,79.27,0.202818706,8,6,1,0,0,4,7,27,1,0,0,0,0,0,0
Indiana,2009,63.56,-1.585681489,19,0,0,13,2.68,455,20,0,0,5,2.15,152,20,0,0,5,2.15,82,20,0,0,5,2.25,85,24,0,0,3,2.13,143,bigten,57.94,-2.033253594,68.7,-1.015770438,6,9,0,0,0,2,16,73,1,0,0,0,0,0,0
Iowa,2009,85.82,1.122706369,19,0,2,5,2.47,343,24,0,0,13,2.54,428,22,0,5,11,2.95,1167,20,0,2,10,2.7,703,23,1,7,11,3.22,1745,bigten,81.79,0.591176085,67.7,-1.131057963,6,8,1,1,1,10,13,32,1,0,0,0,0,0,0
Iowa State,2009,70.3,-0.765621553,23,0,1,10,2.52,236,24,0,1,6,2.33,281,25,0,1,0,2.44,343,30,0,0,15,2.5,285,25,0,2,9,2.52,277,bigtwelve,60.47,-1.754854974,63.88,-1.57145631,8,6,1,0,0,0,0,91,0,0,1,0,0,0,0
Kansas,2009,70.88,-0.695052597,25,0,4,19,3.08,1155,20,0,2,18,3.1,899,23,0,1,13,2.57,491,25,0,1,16,2.72,762,26,0,1,15,2.65,435,bigtwelve,78.8,0.262159534,92.78,1.760353174,8,7,1,1,1,7,7,21,0,0,1,0,0,0,0
Kansas State,2009,69.79,-0.827673566,25,0,0,12,2.48,120,32,0,4,22,2.94,1194,33,0,3,16,2.67,873,31,0,2,12,2.52,675,21,0,3,13,2.9,740,bigtwelve,68.69,-0.850334556,74.59,-0.336726913,6,8,0,0,0,0,17,70,0,0,1,0,0,0,0
Kentucky,2009,75.35,-0.151184955,29,0,3,16,2.69,958,20,0,1,8,2.5,315,29,0,1,9,2.31,452,30,0,3,10,2.53,829,26,0,0,4,2.15,211,SEC,74.41,-0.220911589,83.02,0.635146926,7,5,1,1,1,6,24,50,0,1,0,0,0,0,0
Louisville,2009,66.13,-1.272988012,26,0,1,8,2.31,214,22,0,1,11,2.59,378,17,1,2,11,3.06,845,25,0,4,15,2.92,975,27,0,4,8,2.59,541,Bigeast,64.95,-1.261880342,75.58,-0.222592263,9,7,0,0,0,2,6,72,0,0,0,0,0,1,0
LSU,2009,84.22,0.928033387,24,4,11,9,3.79,2581,26,2,11,13,3.58,2134,26,2,19,5,3.88,2695,25,2,12,11,3.64,2238,13,1,7,5,3.69,1335,SEC,81.96,0.609882712,93.39,1.830678564,7,5,1,1,1,4,8,6,0,1,0,0,0,0,0
Maryland,2009,63.83,-1.552830423,26,0,6,16,3.08,1266,18,0,6,8,3.11,976,26,1,3,13,2.85,1024,22,1,6,7,3,1149,24,1,4,15,3.08,1433,ACC,74.83,-0.174695217,74.75,-0.318280909,6,4,1,1,1,8,8,59,0,0,0,1,0,0,0
Miami-FL,2009,81.72,0.623856854,19,1,9,8,3.53,1693,33,2,15,8,3.33,2467,19,1,7,8,3.21,1452,22,0,11,8,3.36,1785,17,2,11,3,3.82,1976,ACC,77.42,0.110305741,68.18,-1.075719951,6,6,0,1,0,2,2,35,0,0,0,1,0,0,0
Michigan,2009,67.18,-1.145233868,22,1,13,6,3.59,2124,24,0,17,6,3.67,2220,20,2,5,12,3.4,1750,19,2,9,7,3.63,1974,23,1,10,11,3.48,1995,bigten,64.28,-1.335606459,82.27,0.548681282,9,5,0,0,0,2,2,47,1,0,0,0,0,0,0
Michigan State,2009,73.28,-0.403043125,23,0,10,10,3.3,1675,21,0,1,13,2.71,623,23,0,3,12,2.7,808,25,0,7,7,2.84,1112,24,0,1,16,2.75,762,bigten,78.17,0.192834977,75.29,-0.256025645,6,7,0,1,0,2,5,24,1,0,0,0,0,0,0
Minnesota,2009,70.61,-0.727903663,20,0,3,15,3.05,974,30,0,7,18,3.07,1395,24,0,1,9,2.46,406,21,0,0,9,2.33,297,18,0,1,10,2.67,335,bigten,68.46,-0.875643522,57.72,-2.281627467,7,8,1,1,0,2,2,56,1,0,0,0,0,0,0
Mississippi State,2009,76.04,-0.067232231,27,0,7,17,3.15,1332,27,0,4,7,2.56,686,34,0,4,13,2.62,871,24,0,3,10,2.67,595,27,0,3,9,2.56,767,SEC,64.91,-1.266281902,77.69,0.020664416,6,5,1,0,0,0,0,78,0,1,0,0,0,0,0
Missouri,2009,73.42,-0.386009239,25,1,1,15,2.8,970,23,1,2,16,3,1214,27,0,4,16,2.89,1059,24,0,1,13,2.63,564,23,0,1,17,2.83,662,bigtwelve,82.8,0.702315455,90.48,1.495191865,5,4,0,1,1,8,18,46,0,0,1,0,0,0,0
NC State,2009,68.85,-0.942043943,27,0,1,19,2.78,618,25,0,6,10,2.88,1151,25,0,2,12,2.64,565,20,0,0,9,2.45,407,23,0,5,9,2.83,1077,ACC,73.34,-0.338653298,69.69,-0.901635788,7,7,1,1,0,2,11,49,0,0,0,1,0,0,0
Nebraska,2009,84.06,0.908566089,20,0,5,15,3.25,1233,28,1,2,20,2.96,1159,27,0,10,16,3.33,1734,22,1,5,15,3.27,1432,30,2,11,12,3.33,2178,bigtwelve,80.7,0.471233597,72.69,-0.555773211,4,5,0,1,1,1,1,22,0,0,1,0,0,0,0
North Carolina,2009,78.47,0.228427359,29,1,13,10,3.34,2084,19,0,7,8,3.16,1120,24,2,4,12,3,1510,28,0,6,14,2.93,1148,24,0,1,10,2.5,594,ACC,78.88,0.270962653,69.61,-0.91085879,6,9,1,1,0,2,8,19,0,0,0,1,0,0,0
Northwestern,2009,70.95,-0.686535654,18,0,1,10,2.67,471,20,0,0,6,2.3,178,19,0,0,14,2.74,459,17,0,0,4,2.24,123,20,0,0,10,2.5,382,bigten,75.18,-0.136181574,65.3,-1.407748024,5,8,0,1,0,3,3,51,1,0,0,0,0,0,0
Notre Dame,2009,75.31,-0.156051779,18,1,9,5,3.44,1564,23,3,16,4,3.96,2744,18,1,12,4,3.72,1932,28,2,10,15,3.46,2189,15,0,2,11,3,661,Ind,73.75,-0.293537316,64.55,-1.494213668,9,6,1,1,1,5,5,37,0,0,0,0,0,0,1
Ohio State,2009,88.35,1.430533021,25,2,15,8,3.76,2478,20,4,9,7,3.85,2481,15,0,12,3,3.8,1577,20,2,8,10,3.6,2000,18,1,9,6,3.5,1654,bigten,84.83,0.925694585,87.48,1.149329289,4,8,1,1,0,8,8,8,1,0,0,0,0,0,0
Oklahoma,2009,83.15,0.797845831,23,0,11,11,3.43,1830,21,3,12,5,3.81,2422,21,1,9,8,3.38,1704,28,1,13,14,3.54,2180,27,2,14,10,3.63,2441,bigtwelve,94.15,1.951257881,90.66,1.51594362,5,9,1,1,0,10,10,3,0,0,1,0,0,0,0
Oklahoma State,2009,77.28,0.083639329,24,0,5,13,2.96,1049,27,0,6,16,3.04,1211,23,0,4,16,3.04,1143,29,0,6,18,3.03,1330,21,1,0,13,2.76,628,bigtwelve,82.16,0.631890508,79.56,0.236252088,8,6,1,1,0,4,4,10,0,0,1,0,0,0,0
Ole Miss,2009,82.38,0.704159458,37,1,8,22,3.11,1628,31,1,2,15,2.71,1165,22,0,6,12,3.09,1203,30,2,7,15,3.17,1718,27,1,2,8,2.56,887,SEC,86.28,1.085251106,67.64,-1.137975215,7,8,1,1,1,1,16,9,0,1,0,0,0,0,0
Oregon,2009,85.27,1.055787532,26,0,4,16,2.92,1126,20,0,8,9,3.25,1356,29,0,12,12,3.24,1760,21,0,1,12,2.67,515,23,1,2,13,2.87,1049,pacten,85.47,0.996119532,88.19,1.231183432,5,5,1,1,1,0,0,15,0,0,0,0,1,0,0
Oregon State,2009,78.35,0.213826886,24,0,1,13,2.63,595,18,1,0,10,2.72,450,35,0,2,16,2.51,690,30,0,2,14,2.6,650,20,0,2,8,2.6,493,pacten,85.11,0.9565055,83.18,0.65359293,6,3,1,1,1,8,8,31,0,0,0,0,1,0,0
Penn State,2009,85.43,1.07525483,27,0,7,12,2.96,1335,14,0,4,6,3,700,21,0,8,8,3.14,1305,24,1,14,8,3.63,2241,19,2,2,10,3.05,1152,bigten,88.26,1.303128287,80.6,0.356151114,5,4,1,1,0,43,43,11,1,0,0,0,0,0,0
Pittsburgh,2009,83.5,0.840430546,20,0,4,11,2.95,804,19,1,5,9,3.16,1179,24,0,6,13,3.04,1265,26,0,7,14,3.08,1412,24,0,1,11,2.54,694,Bigeast,79.03,0.2874685,70.43,-0.816323019,7,7,1,1,0,4,4,41,0,0,0,0,0,1,0
Purdue,2009,68.6,-0.972461596,20,0,1,8,2.5,226,26,0,1,10,2.38,278,19,0,1,11,2.68,371,26,0,1,10,2.38,490,21,1,3,12,3,967,bigten,67.89,-0.93836574,73.76,-0.432415559,3,7,0,0,0,0,5,68,1,0,0,0,0,0,0
Rutgers,2009,76.98,0.047138145,23,0,4,15,3,981,20,0,3,7,2.65,662,23,0,3,15,2.83,950,25,0,2,9,2.52,573,22,0,1,5,2.32,191,Bigeast,77.11,0.076193658,77.24,-0.031214971,8,6,0,1,1,8,8,38,0,0,0,0,0,1,0
South Carolina,2009,76.43,-0.019780692,29,0,14,11,3.34,1952,22,0,6,14,3.18,1322,31,1,14,13,3.42,2190,24,0,6,14,3.08,1236,28,0,6,15,2.96,1310,SEC,77.06,0.070691709,79.23,0.198207205,5,6,0,1,0,4,19,36,0,1,0,0,0,0,0
South Florida,2009,77.28,0.083639329,30,0,6,18,3,1197,24,0,2,9,2.46,391,27,1,0,10,2.48,381,28,0,1,8,2.36,315,21,0,1,7,2.43,417,Bigeast,75.67,-0.082262474,82.45,0.569433036,5,6,1,1,1,12,12,43,0,0,0,0,0,1,0
Southern Cal,2009,81.95,0.651841095,19,4,11,2,3.89,2410,19,2,13,4,3.89,2312,18,6,10,2,4.22,2761,25,5,14,6,3.96,3018,20,4,11,5,3.95,2631,pacten,94.85,2.028285167,90.94,1.548224127,7,3,0,1,1,8,8,4,0,0,0,0,1,0,0
